experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	answerPos0	answer0	response0	correct0	responsePosRelative0	answerPos1	answer1	response1	correct1	responsePosRelative1	timingBlips
main	75 	auto 	 T1T2 	 1.0 	 right 	17 	I 	Z 	0.0 	-14.0 	17 	W 	Z 	0.0 	-10.0 	0
main	76 	auto 	 T1 	 1.0 	 right 	15 	X 	Z 	0.0 	-15.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	77 	auto 	 T1 	 1.0 	 right 	15 	H 	Z 	0.0 	1.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	78 	auto 	 T1 	 1.0 	 left 	13 	V 	Z 	0.0 	-13.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	79 	auto 	 T1T2 	 1.0 	 left 	17 	D 	Z 	0.0 	7.0 	17 	P 	Z 	0.0 	-13.0 	0
main	80 	auto 	 T1T2 	 1.0 	 right 	9 	P 	Z 	0.0 	12.0 	9 	Y 	Z 	0.0 	-3.0 	0
main	81 	auto 	 T1T2 	 1.0 	 right 	9 	R 	Z 	0.0 	10.0 	9 	U 	Z 	0.0 	8.0 	0
main	82 	auto 	 T1T2 	 1.0 	 left 	7 	M 	Z 	0.0 	7.0 	7 	X 	Z 	0.0 	4.0 	2
main	83 	auto 	 T1T2 	 1.0 	 left 	15 	W 	Z 	0.0 	-10.0 	15 	V 	Z 	0.0 	-15.0 	0
main	84 	auto 	 T1T2 	 1.0 	 right 	15 	D 	Z 	0.0 	-10.0 	15 	Y 	Z 	0.0 	4.0 	0
main	85 	auto 	 T1 	 1.0 	 left 	7 	C 	Z 	0.0 	-6.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	86 	auto 	 T1T2 	 1.0 	 left 	15 	D 	Z 	0.0 	-10.0 	15 	Z 	Z 	1.0 	0.0 	0
main	87 	auto 	 T1T2 	 1.0 	 right 	7 	B 	Z 	0.0 	-7.0 	7 	R 	Z 	0.0 	6.0 	0
main	88 	auto 	 T1T2 	 1.0 	 right 	17 	G 	Z 	0.0 	-1.0 	17 	I 	Z 	0.0 	-10.0 	0
main	89 	auto 	 T1T2 	 1.0 	 right 	7 	L 	Z 	0.0 	4.0 	7 	Y 	Z 	0.0 	15.0 	0
main	90 	auto 	 T1T2 	 1.0 	 left 	11 	W 	Z 	0.0 	-10.0 	11 	V 	Z 	0.0 	-8.0 	0
main	91 	auto 	 T1T2 	 1.0 	 left 	7 	R 	Z 	0.0 	4.0 	7 	I 	Z 	0.0 	-1.0 	0
main	92 	auto 	 T1T2 	 1.0 	 right 	13 	K 	Z 	0.0 	-9.0 	13 	G 	Z 	0.0 	7.0 	0
main	93 	auto 	 T1T2 	 1.0 	 left 	13 	U 	Z 	0.0 	3.0 	13 	S 	Z 	0.0 	-3.0 	2
main	94 	auto 	 T1T2 	 1.0 	 right 	11 	Y 	Z 	0.0 	10.0 	11 	R 	Z 	0.0 	-11.0 	0
main	95 	auto 	 T1T2 	 1.0 	 left 	9 	L 	Z 	0.0 	16.0 	9 	P 	Z 	0.0 	10.0 	0
main	96 	auto 	 T1T2 	 1.0 	 right 	7 	A 	Z 	0.0 	3.0 	7 	L 	Z 	0.0 	14.0 	0
main	97 	auto 	 T1 	 1.0 	 left 	11 	G 	Z 	0.0 	-11.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	98 	auto 	 T1 	 1.0 	 left 	11 	N 	Z 	0.0 	7.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	99 	auto 	 T1T2 	 1.0 	 left 	15 	H 	Z 	0.0 	-1.0 	15 	T 	Z 	0.0 	1.0 	0
main	100 	auto 	 T1T2 	 1.0 	 right 	15 	X 	Z 	0.0 	-13.0 	15 	S 	Z 	0.0 	-11.0 	0
main	101 	auto 	 T1 	 1.0 	 left 	9 	A 	Z 	0.0 	3.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	102 	auto 	 T1T2 	 1.0 	 left 	9 	F 	Z 	0.0 	7.0 	9 	D 	Z 	0.0 	-5.0 	0
main	103 	auto 	 T1T2 	 1.0 	 left 	13 	C 	Z 	0.0 	9.0 	13 	V 	Z 	0.0 	1.0 	0
main	104 	auto 	 T1 	 1.0 	 left 	7 	Y 	Z 	0.0 	15.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	105 	auto 	 T1 	 1.0 	 right 	7 	U 	Z 	0.0 	5.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	106 	auto 	 T1 	 1.0 	 left 	17 	C 	Z 	0.0 	-7.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	107 	auto 	 T1T2 	 1.0 	 left 	7 	U 	Z 	0.0 	9.0 	7 	S 	Z 	0.0 	6.0 	0
main	108 	auto 	 T1 	 1.0 	 right 	9 	H 	Z 	0.0 	7.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	109 	auto 	 T1 	 1.0 	 right 	11 	G 	Z 	0.0 	-11.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	110 	auto 	 T1T2 	 1.0 	 right 	15 	S 	Z 	0.0 	-13.0 	15 	X 	Z 	0.0 	-4.0 	0
main	111 	auto 	 T1 	 1.0 	 left 	7 	F 	Z 	0.0 	11.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	112 	auto 	 T1T2 	 1.0 	 left 	17 	R 	Z 	0.0 	-4.0 	17 	M 	Z 	0.0 	2.0 	0
main	113 	auto 	 T1 	 1.0 	 right 	15 	Q 	Z 	0.0 	-5.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	114 	auto 	 T1 	 1.0 	 right 	17 	X 	Z 	0.0 	-11.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	115 	auto 	 T1T2 	 1.0 	 left 	15 	H 	Z 	0.0 	-4.0 	15 	A 	Z 	0.0 	8.0 	0
main	116 	auto 	 T1T2 	 1.0 	 right 	17 	P 	Z 	0.0 	5.0 	17 	G 	Z 	0.0 	-14.0 	0
main	117 	auto 	 T1 	 1.0 	 left 	15 	Q 	Z 	0.0 	-13.0 	NaN 	NaN 	NaN 	NaN 	NaN 	0
main	118 	auto 	 T1T2 	 1.0 	 right 	13 	J 	Z 	0.0 	-2.0 	13 	R 	Z 	0.0 	-7.0 	0
main	119 	auto 	 T1T2 	 1.0 	 right 	13 	G 	Z 	0.0 	3.0 	13 	I 	Z 	0.0 	-12.0 	0
